CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Trans_Amt_Oct12;Trans_Amt_Nov12;Trans_Amt_Dec12;Trans_Amt_Jan13;Trans_Amt_Feb13;Trans_Amt_Mar13;Trans_Count_Oct12;Trans_Count_Nov12;Trans_Count_Dec12;Trans_Count_Jan13;Trans_Count_Feb13;Trans_Count_Mar13
709029408;0;41;M;4;Graduate;Married;$60K - $80K;Blue;36;4;1;2;8923;3296;105;182;296;604;204;198;2;2;5;7;4;4
788658483;0;53;F;2;College;Married;Less than $40K;Blue;38;5;2;3;2650;1490;104;211;198;336;471;91;1;6;7;6;4;4
787937058;0;58;M;0;Graduate;Married;$80K - $120K;Blue;49;6;2;2;12555;1696;105;259;486;175;101;165;0;6;8;6;2;2
715318008;0;55;F;1;College;Single;Less than $40K;Blue;36;4;2;1;3520;1914;107;299;526;129;207;139;2;9;18;7;4;3
713962233;0;55;F;3;Graduate;Married;Less than $40K;Blue;36;6;2;3;3035;2298;104;346;239;236;781;171;1;7;9;10;7;3
785432733;0;42;F;4;High School;Married;Less than $40K;Gold;36;2;3;3;15433;0;104;177;237;174;138;136;2;3;5;6;4;2
715190283;0;57;F;1;Graduate;Unknown;$40K - $60K;Blue;49;3;3;2;3672;886;111;316;204;525;207;101;2;7;9;8;2;0
708300483;1;66;F;0;Doctorate;Married;Unknown;Blue;56;5;4;3;7882;605;60;117;166;157;135;69;2;7;5;1;0;1
827111283;0;45;M;3;Graduate;Single;$80K - $120K;Blue;41;2;2;2;32426;578;121;221;201;290;109;167;1;9;9;6;1;2
758551608;0;51;M;2;Unknown;Married;$40K - $60K;Blue;44;4;1;0;6205;2204;113;248;386;114;258;228;2;2;14;3;2;5
773146383;0;50;F;1;College;Single;$40K - $60K;Silver;43;3;2;3;17304;3006;126;299;292;618;194;227;1;10;4;8;2;8
778493808;0;49;M;3;High School;Married;$60K - $80K;Blue;37;5;2;1;3906;0;113;336;344;430;179;354;2;8;6;9;2;5
720572508;0;38;F;4;Graduate;Single;Unknown;Blue;28;2;3;3;9830;2055;127;297;103;125;181;209;1;10;1;4;2;5
712661433;0;49;M;4;Uneducated;Single;$80K - $120K;Blue;30;3;2;3;38138;0;127;191;233;576;132;185;2;3;7;9;3;4
789172683;0;56;M;2;Doctorate;Married;$60K - $80K;Blue;45;6;2;0;2283;1430;124;211;190;281;758;177;3;8;6;6;2;2
738406533;0;59;M;1;Doctorate;Married;$40K - $60K;Blue;52;3;2;2;2548;2020;115;159;238;342;634;231;1;1;8;9;2;6
799723908;0;46;M;3;High School;Married;$80K - $120K;Blue;40;4;3;3;19458;1435;110;134;437;213;147;176;2;1;12;6;2;4
771490833;0;52;M;1;College;Single;$80K - $120K;Blue;40;5;1;1;4745;1227;119;382;201;173;126;139;3;14;8;7;4;4
720756708;0;52;F;3;Unknown;Married;Less than $40K;Blue;41;6;3;2;2622;1549;132;318;359;301;675;93;2;7;5;9;5;2
779471883;1;54;F;1;Graduate;Married;Less than $40K;Blue;40;2;3;1;1106;808;66;138;149;134;96;122;2;3;5;3;3;3
711525033;0;66;F;0;High School;Married;Less than $40K;Blue;54;3;4;2;3171;2179;120;257;498;278;598;195;1;7;5;11;10;4
712813458;0;49;M;2;Unknown;Married;$120K +;Blue;36;4;2;0;19763;2852;134;414;302;171;283;110;6;9;13;5;0;2
714374133;1;56;M;2;Graduate;Married;$120K +;Blue;36;1;3;3;15769;0;67;110;118;136;75;96;1;4;6;1;1;2
717891558;0;49;F;4;Graduate;Unknown;Less than $40K;Blue;36;6;4;2;3298;2200;129;265;233;178;84;163;2;10;8;7;2;3
716632758;0;49;F;3;Graduate;Single;Less than $40K;Blue;36;2;2;0;2802;2363;136;213;391;160;157;238;3;9;13;8;2;5
768563658;0;56;M;2;Uneducated;Married;$40K - $60K;Blue;50;4;2;3;4458;1880;134;166;376;305;377;66;4;3;5;9;7;1
711427458;0;44;F;5;Graduate;Married;Unknown;Blue;35;4;1;2;6273;978;141;274;0;578;274;92;5;7;0;10;2;1
714091983;0;42;M;2;High School;Single;$60K - $80K;Blue;34;4;4;3;3336;1753;139;298;254;183;144;150;2;2;8;5;6;4
787584108;0;55;M;3;Unknown;Married;$80K - $120K;Blue;47;4;2;3;3436;2016;125;244;208;169;224;127;1;9;8;9;3;3
712030833;1;48;M;2;Graduate;Married;$60K - $80K;Silver;35;2;4;4;34869;0;69;133;190;144;56;99;2;4;4;0;2;3
711481533;0;39;M;1;High School;Divorced;$60K - $80K;Blue;33;5;3;3;5926;1251;130;300;247;182;307;150;3;3;7;9;2;4
710082708;0;44;M;4;Post-Graduate;Single;$120K +;Blue;32;2;4;2;23957;2102;137;248;254;161;253;223;2;9;4;6;2;3
708155733;0;53;M;2;High School;Single;$120K +;Blue;44;4;2;2;14734;1634;120;267;261;251;242;148;1;4;7;5;4;2
788979258;0;51;M;4;Uneducated;Single;$80K - $120K;Silver;38;4;1;4;51411;1515;128;248;436;198;153;130;4;1;15;4;6;2
807986133;0;57;M;2;College;Married;$60K - $80K;Blue;52;5;3;3;6584;1817;140;312;383;218;123;177;5;1;15;10;1;3
788730933;0;44;F;2;Uneducated;Single;Less than $40K;Blue;20;6;3;3;2084;1468;142;268;155;243;149;175;3;7;8;3;2;5
711314058;0;49;M;2;Graduate;Married;$60K - $80K;Blue;32;2;2;2;1687;1107;133;303;179;629;153;273;2;0;3;6;4;2
717975333;0;50;M;2;Doctorate;Married;$80K - $120K;Blue;38;6;2;2;25300;1330;130;158;116;142;215;76;1;2;2;4;4;2
715971108;0;51;M;4;Graduate;Single;$120K +;Blue;42;3;2;3;37964;1763;137;326;221;366;263;237;3;6;11;10;4;7
720096558;0;55;F;2;Graduate;Married;Less than $40K;Blue;42;5;3;3;2216;1034;127;347;402;223;256;185;4;7;17;4;2;2
719580033;0;54;M;1;Graduate;Unknown;$60K - $80K;Blue;43;4;2;3;2910;2030;147;262;301;195;192;159;5;7;3;4;0;2
820582308;0;42;M;5;Uneducated;Married;$80K - $120K;Blue;37;6;2;2;22913;1528;154;401;431;113;124;171;4;7;12;7;2;3
789973308;0;44;M;1;College;Single;$60K - $80K;Blue;35;3;3;3;24312;1932;138;154;288;535;141;85;3;4;4;7;4;2
712876233;0;53;M;2;Graduate;Single;$80K - $120K;Blue;36;5;3;2;5272;1515;156;232;306;193;164;238;2;6;15;4;2;4
804595158;0;44;F;4;Graduate;Single;Less than $40K;Blue;36;6;4;2;7000;3257;128;388;238;125;89;144;1;2;5;6;4;5
714826758;0;37;F;3;Uneducated;Single;Less than $40K;Blue;29;4;4;2;7038;1801;153;491;692;301;406;296;4;10;15;12;7;9
779058108;0;49;M;3;Graduate;Divorced;$60K - $80K;Blue;30;6;1;2;2536;1823;154;318;390;141;282;183;3;5;9;2;2;2
710790258;0;47;M;2;Graduate;Married;$80K - $120K;Blue;38;6;3;2;28904;1899;144;248;329;172;262;179;2;11;12;4;3;3
715623483;0;47;M;3;Graduate;Married;$60K - $80K;Blue;37;4;4;0;8567;1695;142;196;312;379;143;285;4;3;10;11;9;4
715156383;0;44;M;1;Unknown;Unknown;$120K +;Blue;36;6;2;2;42149;1533;140;244;449;359;273;138;5;9;5;7;3;0
711013983;1;55;F;4;Unknown;Married;$40K - $60K;Blue;45;2;4;3;2158;0;77;140;171;112;58;57;2;2;3;0;2;3
755420433;0;59;F;1;Graduate;Married;Unknown;Blue;52;2;3;3;10133;1417;134;239;399;168;44;84;3;2;6;4;2;3
794543958;0;53;M;1;Graduate;Divorced;$80K - $120K;Blue;35;5;4;2;37166;1219;148;283;316;349;272;222;2;6;1;11;2;5
716396358;0;52;M;2;Graduate;Married;$60K - $80K;Blue;47;5;3;0;3085;1910;157;272;368;342;292;100;3;9;9;9;3;2
715398033;0;53;M;2;High School;Single;$120K +;Blue;35;4;2;1;19040;2056;134;414;206;155;175;128;2;6;10;6;4;3
711743883;0;43;F;3;Uneducated;Single;Less than $40K;Blue;35;5;2;3;4026;0;139;256;439;154;74;175;4;4;12;7;2;3
719720058;0;44;M;3;High School;Single;$60K - $80K;Blue;31;4;3;1;12756;837;161;202;119;472;287;172;2;1;2;4;3;2
778992108;0;57;M;2;Unknown;Married;$120K +;Blue;45;5;3;3;5266;0;157;148;256;266;453;236;1;2;8;7;6;5
717539808;0;51;F;2;High School;Single;Less than $40K;Blue;36;3;2;2;9930;0;162;262;313;144;174;221;3;4;2;7;2;3
714070758;0;49;M;4;High School;Single;$80K - $120K;Blue;38;4;3;0;31302;1953;156;335;343;320;190;220;0;5;6;9;10;5
714107958;0;45;M;1;Graduate;Single;$40K - $60K;Blue;36;4;4;3;6576;0;161;409;358;236;126;175;1;12;8;9;2;2
789140283;0;53;M;0;Graduate;Single;$80K - $120K;Blue;42;5;4;1;2664;2037;136;255;304;180;188;223;2;4;9;4;4;6
715550508;0;45;F;3;Unknown;Married;Unknown;Blue;28;5;1;2;2535;2440;145;155;185;592;78;157;3;1;5;6;2;3
719712633;0;64;M;1;Graduate;Married;Less than $40K;Blue;52;6;4;3;1709;895;140;224;266;325;580;138;4;6;7;7;4;4
772629333;0;45;M;3;Graduate;Married;$40K - $60K;Blue;35;5;4;2;3454;1200;148;407;267;121;167;203;5;11;7;1;4;2
720336708;0;53;M;3;Doctorate;Married;$40K - $60K;Blue;35;5;3;2;3789;1706;150;257;379;289;347;187;3;9;13;9;4;4
802013583;0;56;M;3;College;Married;$120K +;Blue;50;3;2;0;9689;2250;157;285;293;214;71;138;2;7;2;5;0;3
711887583;1;47;M;2;Unknown;Married;$80K - $120K;Blue;37;2;3;3;5449;1628;81;147;265;129;122;92;1;2;10;0;2;3
714778833;0;49;F;3;College;Single;Unknown;Blue;43;4;4;0;23032;1960;142;297;357;148;191;154;2;5;4;4;3;4
713843283;0;41;F;3;Unknown;Married;Unknown;Silver;34;5;3;3;38262;2053;156;238;337;239;330;187;3;3;9;5;4;2
779155158;0;53;M;3;Graduate;Married;$120K +;Blue;34;6;2;2;2940;1264;153;254;399;206;146;101;5;8;9;6;2;3
721091583;0;44;F;2;Graduate;Single;Less than $40K;Blue;32;3;3;3;3031;1879;166;342;218;246;114;212;2;3;1;4;2;3
713572683;0;44;M;3;High School;Unknown;$60K - $80K;Blue;25;3;3;0;1862;0;148;309;194;144;251;180;3;6;10;7;2;6
716657058;0;43;F;4;Post-Graduate;Married;Less than $40K;Blue;33;2;3;3;8358;926;155;266;468;255;207;215;5;10;9;9;0;4
779509983;0;53;M;2;Post-Graduate;Single;$120K +;Blue;36;6;1;2;35818;931;161;243;155;204;130;129;3;3;4;6;2;3
717929133;0;44;M;1;Uneducated;Married;$60K - $80K;Blue;36;5;2;3;14450;2440;170;203;168;167;227;300;2;8;8;5;4;3
808284783;0;62;F;1;Unknown;Married;Less than $40K;Blue;56;6;0;0;724;0;172;321;583;354;204;317;0;7;14;11;5;7
708476808;0;54;M;4;Unknown;Divorced;$120K +;Blue;36;6;3;2;33791;1960;151;278;218;153;98;149;5;9;3;7;2;5
710916408;0;57;M;4;Graduate;Married;$60K - $80K;Blue;39;4;3;0;8466;1886;143;396;321;219;134;129;2;7;14;6;1;2
708492558;0;42;M;3;Unknown;Married;$60K - $80K;Blue;36;5;3;3;15088;865;172;213;186;213;178;145;1;2;5;7;2;4
799825758;0;42;M;4;High School;Divorced;$60K - $80K;Blue;36;5;1;2;3263;1674;161;349;278;216;146;101;4;16;6;3;2;4
718619883;0;54;F;0;Uneducated;Married;Less than $40K;Blue;36;2;2;2;1494;706;162;269;57;311;325;181;6;0;0;12;4;2
711844758;0;48;M;3;Graduate;Single;$80K - $120K;Blue;35;6;1;0;13551;1294;172;358;245;145;243;225;0;9;9;8;4;7
714798783;0;49;M;1;Graduate;Single;$80K - $120K;Blue;36;6;2;2;18886;895;147;154;136;433;108;257;1;2;4;7;2;2
826762908;0;52;M;3;High School;Unknown;$80K - $120K;Blue;48;3;2;0;11976;1273;170;292;570;463;292;302;3;5;9;7;5;7
771894558;0;50;M;3;High School;Single;$80K - $120K;Blue;39;4;1;4;9964;1559;156;207;203;685;239;136;4;3;7;7;2;2
721074183;0;49;M;1;Doctorate;Married;$60K - $80K;Blue;36;4;6;3;24159;1196;153;296;200;183;193;86;3;1;8;4;4;4
715259583;0;53;F;2;High School;Married;Less than $40K;Blue;44;3;2;3;5362;1901;168;265;422;191;299;208;2;7;10;11;3;5
718414008;0;50;M;2;Graduate;Single;$120K +;Blue;36;3;2;2;41000;1023;170;224;137;187;117;229;1;5;2;2;1;2
719666283;0;55;F;1;Doctorate;Married;Less than $40K;Blue;36;4;1;0;3174;1951;152;248;304;182;192;165;4;2;12;7;2;2
714877233;0;53;M;1;High School;Married;$80K - $120K;Blue;47;3;2;2;12262;1836;156;209;277;334;440;243;5;6;4;9;7;7
785387883;0;47;F;3;High School;Single;$40K - $60K;Blue;41;4;3;3;3788;1540;180;357;481;137;247;192;7;11;16;6;4;3
771075258;0;55;M;2;College;Single;$120K +;Silver;42;2;3;2;70660;1527;180;233;418;210;94;133;4;9;18;4;3;4
711318033;0;47;M;3;Graduate;Single;$60K - $80K;Blue;36;4;2;2;2926;0;151;344;283;169;186;171;2;4;7;7;2;2
783554958;0;58;M;4;Graduate;Single;$120K +;Blue;52;6;1;0;32090;0;158;372;343;229;151;115;3;11;8;5;2;1
720201033;1;53;M;2;Graduate;Married;$80K - $120K;Blue;41;3;3;2;11669;2227;88;198;158;124;86;66;3;9;5;1;2;3
718039683;0;52;M;2;High School;Single;$40K - $60K;Blue;45;3;1;2;13532;1300;178;245;401;414;152;131;3;6;3;9;6;2
710806083;0;50;F;1;Uneducated;Unknown;Less than $40K;Silver;36;4;2;2;11888;2090;180;247;242;163;158;147;2;7;8;6;5;2
714752208;0;42;F;1;Graduate;Married;Less than $40K;Blue;36;5;1;2;2393;1985;173;209;165;229;64;138;1;2;6;4;1;2
822063408;0;43;M;4;Unknown;Married;$40K - $60K;Blue;39;5;1;2;6111;2926;179;231;338;222;148;103;0;0;5;5;4;2
714490308;0;57;M;4;Graduate;Married;$80K - $120K;Blue;46;3;2;3;19270;1662;184;237;295;399;270;180;2;6;3;8;2;7
713356833;0;52;M;1;Graduate;Married;$80K - $120K;Blue;43;3;1;4;3710;2766;153;229;239;312;537;108;3;13;4;8;4;2
711402333;0;47;M;2;Doctorate;Single;Less than $40K;Blue;37;2;1;3;3235;797;182;418;369;213;157;154;4;8;4;7;4;5
708296883;0;44;F;3;Graduate;Single;$40K - $60K;Blue;38;3;1;0;11749;788;182;282;234;162;114;204;2;6;6;7;2;4
719154483;0;53;M;2;High School;Divorced;$60K - $80K;Blue;36;5;3;2;7753;2100;167;148;224;160;119;173;4;2;9;7;2;2
717721458;0;45;M;4;College;Divorced;$60K - $80K;Blue;40;5;1;0;10408;1186;158;117;677;540;665;403;4;1;14;9;7;7
711112683;0;63;F;1;College;Married;Unknown;Blue;36;6;2;3;3967;1568;183;165;393;272;480;164;3;2;8;8;7;1
715674483;0;39;F;2;Post-Graduate;Single;Less than $40K;Blue;27;4;2;2;6205;2756;176;423;22;186;202;195;1;10;0;3;2;3
789322833;1;48;F;5;High School;Married;Less than $40K;Blue;38;1;3;3;8025;0;90;170;147;124;39;103;1;6;3;3;3;2
789968058;0;51;M;1;Unknown;Single;$120K +;Blue;42;6;2;3;9036;2327;169;305;212;210;92;143;3;3;5;2;1;4
709919283;0;54;M;4;Graduate;Married;$80K - $120K;Blue;34;2;3;2;14926;3369;178;233;115;309;514;227;2;4;4;7;6;2
718744008;0;59;F;1;Graduate;Single;Less than $40K;Blue;36;3;2;3;6335;1128;185;357;329;157;121;68;1;2;9;3;2;3
767712558;1;59;M;1;College;Single;$60K - $80K;Blue;53;2;3;3;14979;0;91;96;123;126;55;39;1;2;2;2;1;2
712950783;1;48;F;4;Uneducated;Married;Less than $40K;Blue;38;3;2;3;2732;0;91;145;184;134;82;103;1;5;5;2;1;2
716104983;0;41;F;2;Graduate;Single;Less than $40K;Blue;32;6;3;2;2250;2117;163;265;320;362;253;254;3;3;2;13;6;4
818839983;0;55;M;2;Graduate;Married;$120K +;Blue;50;3;2;0;10916;1536;162;177;348;259;490;156;2;3;12;7;7;3
772288758;0;47;F;4;Graduate;Married;Unknown;Blue;36;4;1;3;5349;1228;159;308;310;216;208;142;1;8;4;7;6;4
712350858;0;41;M;2;High School;Married;$80K - $120K;Blue;24;4;1;3;9366;1104;167;386;276;253;80;141;1;8;15;11;2;2
711009708;0;40;M;3;High School;Single;$80K - $120K;Blue;28;5;1;0;21617;0;156;374;130;274;263;154;3;5;7;4;1;2
712720158;0;68;M;1;Graduate;Married;Unknown;Blue;56;5;2;3;13860;1652;167;379;301;361;539;163;2;7;2;11;8;2
712215258;0;50;F;1;Graduate;Single;$40K - $60K;Silver;31;2;2;3;18386;0;170;477;48;197;169;237;3;11;0;2;2;4
773827008;0;47;M;4;Uneducated;Single;$60K - $80K;Blue;41;6;2;2;2405;1540;166;239;335;124;69;154;4;2;7;8;2;6
795232683;0;53;F;1;College;Married;Less than $40K;Blue;47;4;2;3;2154;930;181;280;0;220;646;112;5;6;0;9;4;2
713786508;0;42;F;5;Unknown;Married;$40K - $60K;Blue;36;3;3;3;2038;0;173;230;290;224;212;109;4;7;5;6;4;2
713539833;0;48;F;4;High School;Single;$40K - $60K;Blue;38;6;1;3;8135;0;163;259;301;590;200;203;3;4;9;6;5;2
712454058;0;49;M;1;Doctorate;Married;$120K +;Blue;38;6;1;3;9364;618;157;360;190;98;132;162;2;5;8;3;3;6
718759833;0;44;F;2;Uneducated;Married;Unknown;Silver;35;4;3;2;32643;0;179;158;123;199;190;209;3;2;2;8;2;7
718803333;0;43;F;4;Graduate;Divorced;Less than $40K;Blue;34;2;3;1;3195;1954;173;158;321;205;121;307;4;4;9;7;2;3
720253908;0;56;M;0;High School;Married;$80K - $120K;Blue;43;5;2;1;2852;1024;171;267;384;214;479;136;2;7;5;8;4;2
714133158;0;59;F;1;College;Single;Unknown;Blue;36;2;3;3;4224;1305;161;245;216;242;105;183;3;8;6;5;4;5
713187033;0;46;M;1;Uneducated;Married;$60K - $80K;Blue;36;3;2;2;20459;2071;160;339;287;442;331;208;4;2;6;10;7;9
714791208;0;47;F;4;Unknown;Divorced;Less than $40K;Blue;41;6;5;3;3482;2114;187;231;271;153;52;145;2;5;12;1;1;3
772426383;0;50;F;4;Uneducated;Married;$40K - $60K;Blue;40;5;2;3;3065;1570;166;220;158;228;187;171;2;5;5;8;4;4
710975883;0;51;F;3;Uneducated;Married;Less than $40K;Blue;43;3;1;2;2185;1761;162;374;442;215;257;195;1;7;13;5;2;2
714264408;0;47;F;3;Uneducated;Married;Less than $40K;Blue;36;4;1;0;1611;746;193;244;272;189;348;167;2;10;5;6;2;4
715827858;0;58;F;4;Uneducated;Married;Less than $40K;Blue;47;3;3;3;2822;2173;185;250;61;228;319;175;3;4;0;9;3;4
713741358;1;;M;5;Graduate;Single;$80K - $120K;Blue;33;6;3;3;32975;3218;95;118;147;100;130;7;3;2;5;4;3;0
709531908;0;53;M;3;High School;Married;$60K - $80K;Blue;47;5;2;2;653;0;185;389;656;315;405;234;5;9;15;12;10;2
716493408;0;45;F;4;Uneducated;Divorced;Unknown;Blue;36;4;3;3;15875;1719;187;241;428;334;288;114;3;1;11;10;7;5
714141108;0;52;F;1;High School;Married;Less than $40K;Blue;45;6;3;3;6703;893;190;216;480;172;161;169;2;3;11;7;2;3
708953883;1;53;M;2;Unknown;Married;$80K - $120K;Blue;36;2;2;1;3212;0;95;157;190;124;80;111;2;4;10;3;0;1
712608783;0;50;M;2;High School;Married;$80K - $120K;Silver;45;3;1;3;58109;1260;190;362;395;176;234;147;4;7;8;8;1;6
820353558;0;41;F;3;High School;Married;$40K - $60K;Blue;36;4;1;2;9797;1434;181;359;374;199;148;242;5;11;7;3;2;6
714964758;0;45;F;5;Graduate;Divorced;$40K - $60K;Blue;36;5;2;2;10400;1777;163;148;306;185;159;144;4;2;9;7;4;2
716264358;0;53;M;3;Uneducated;Married;$80K - $120K;Blue;42;2;1;2;26792;1836;180;387;419;307;910;195;3;11;11;11;9;2
717296808;0;67;F;1;Graduate;Married;Less than $40K;Blue;56;4;3;2;3006;2749;199;128;217;327;662;128;2;1;13;8;5;3
712977183;0;57;F;2;Uneducated;Single;$40K - $60K;Silver;36;6;3;0;19482;1072;197;281;355;202;198;188;2;5;2;9;2;2
710829108;0;59;F;1;Uneducated;Married;$40K - $60K;Blue;36;4;2;3;3356;985;173;368;199;144;37;78;3;9;6;3;1;6
779562633;0;45;M;2;Uneducated;Married;$40K - $60K;Blue;34;3;2;1;5771;2248;166;109;222;579;213;98;4;0;6;4;2;2
715315833;0;51;M;3;Graduate;Married;$80K - $120K;Blue;36;6;2;3;11106;2107;177;325;136;339;118;148;5;5;2;5;3;4
815500983;0;59;F;1;Uneducated;Married;Less than $40K;Blue;54;5;3;0;2890;2001;196;191;410;323;600;140;3;3;12;7;8;3
719360583;0;53;M;1;Graduate;Married;$60K - $80K;Blue;45;6;2;2;3380;1701;188;411;261;205;311;126;2;6;3;7;5;2
709701558;0;47;M;3;Graduate;Married;$60K - $80K;Blue;36;2;1;2;21331;1251;179;350;220;398;100;213;3;15;6;9;8;9
721148358;0;49;F;3;Uneducated;Single;Unknown;Blue;38;6;2;1;12860;0;190;256;373;187;218;124;2;4;15;2;2;2
779862408;0;49;M;3;Post-Graduate;Single;$80K - $120K;Blue;33;3;1;0;6278;462;183;320;0;175;205;204;2;15;0;9;5;2
812627208;0;60;F;0;College;Single;Less than $40K;Blue;55;5;1;3;1175;738;180;294;214;235;79;224;3;8;10;9;1;2
711033408;0;50;F;2;High School;Married;Less than $40K;Blue;36;5;1;2;9355;1626;170;152;401;161;192;154;4;4;7;4;5;4
779956608;0;41;F;2;Post-Graduate;Married;Unknown;Blue;31;6;1;3;20758;0;173;341;407;285;235;114;2;8;9;9;1;3
780376683;0;57;M;1;Graduate;Married;$80K - $120K;Blue;47;5;3;1;14612;1976;173;241;246;317;705;145;3;2;1;7;8;3
717912483;0;43;M;4;Graduate;Unknown;$80K - $120K;Blue;27;5;2;0;27259;0;191;243;361;197;120;264;2;6;14;5;4;4
714454758;0;57;F;3;Graduate;Married;Less than $40K;Blue;47;4;2;3;6347;1594;191;425;318;256;328;253;1;14;6;7;4;5
780466533;0;54;M;3;Doctorate;Married;$120K +;Blue;41;3;3;0;21592;1676;167;316;410;305;343;332;2;11;21;8;6;4
715735233;0;51;F;5;Post-Graduate;Married;Less than $40K;Blue;44;5;1;1;3449;1598;187;287;378;402;227;198;4;12;11;9;2;4
